Theta,A-X (meter),A-Y (meter),B-X (meter),B-Y (meter),C-X (meter),C-Y (meter),D-X (meter),D-Y (meter),D0-X (meter),D0-Y (meter),A-X Vel (meter/sec),A-Y Vel (meter/sec),B-X Vel (meter/sec),B-Y Vel (meter/sec),C-X Vel (meter/sec),C-Y Vel (meter/sec),D-X Vel (meter/sec),D-Y Vel (meter/sec),D0-X Vel (meter/sec),D0-Y Vel (meter/sec),A-X Acc (meter/sec**2),A-Y Acc (meter/sec**2),B-X Acc (meter/sec**2),B-Y Acc (meter/sec**2),C-X Acc (meter/sec**2),C-Y Acc (meter/sec**2),D-X Acc (meter/sec**2),D-Y Acc (meter/sec**2),D0-X Acc (meter/sec**2),D0-Y Acc (meter/sec**2)
-0.042514474,0.001299307,0.030543111,-0.049739082,0.106743846,0.297104059,0.059745599,0.312626783,0.05473509,-0.039529658,0.091503699,-0.095950359,0.004027217,0.010180316,0.075129931,-0.060766862,-0.448454896,-0.065888179,-0.464288334,-0.011045821,0.060909391,-0.012651394,-0.301448431,0.051448725,-0.472677963,-0.30709651,2.821440758,-0.455528054,2.420426099,0.038628761,-0.438432063
0.009842923,-0.000300892,0.030568342,-0.049564092,0.107928866,0.296059538,0.052672142,0.311474848,0.047340818,-0.039709707,0.092456762,-0.096029623,-0.001000147,0.010709874,0.066988827,-0.063927796,-0.399860189,-0.071793446,-0.422535366,-0.010638027,0.053391035,0.003141936,-0.301697453,0.012407985,-0.502835348,-0.074060705,3.001452118,-0.252774306,2.595808661,0.01055485,-0.462607814
0.06220189,-0.001900218,0.030509788,-0.049385593,0.10897441,0.294994068,0.046431234,0.310252937,0.040668087,-0.039886773,0.093281485,-0.095845676,-0.00602477,0.010609107,0.058416507,-0.063326288,-0.348691526,-0.074277279,-0.377612973,-0.010681851,0.045528254,0.018926662,-0.301119539,-0.023903098,-0.524411574,0.142681202,3.130242217,-0.044597463,2.797935334,-0.015337068,-0.479753241
0.114562444,-0.003494288,0.030367608,-0.049213635,0.109874479,0.293967636,0.041058669,0.309018251,0.034772532,-0.04006802,0.093973105,-0.095399023,-0.011032879,0.009937031,0.049555372,-0.059314618,-0.295798907,-0.073323035,-0.329293744,-0.01113018,0.037437724,0.034659504,-0.299716276,-0.055916868,-0.537553781,0.333772001,3.208689317,0.158203533,2.99490584,-0.037801524,-0.489986373
0.166924601,-0.005078732,0.030142193,-0.049057081,0.110625411,0.293033157,0.036576314,0.30782675,0.029708034,-0.040259666,0.094528767,-0.094690887,-0.016010748,0.008775772,0.040541943,-0.052382993,-0.241997227,-0.069130678,-0.278034176,-0.011917559,0.029231406,0.05029734,-0.297491517,-0.082442597,-0.542806099,0.49210437,3.240041253,0.341090956,3.145179922,-0.055894556,-0.493743277
0.219288369,-0.006649209,0.029834161,-0.048923283,0.111225727,0.292234509,0.032992994,0.306729289,0.025515693,-0.040466723,0.094947413,-0.093723211,-0.020944733,0.007223708,0.031501037,-0.043118637,-0.188031535,-0.062126128,-0.224828303,-0.012965675,0.021011883,0.065797315,-0.29445136,-0.10272555,-0.541010281,0.613173439,3.229322394,0.49313992,3.227974226,-0.069020942,-0.49169858
0.271653754,-0.008201412,0.029444354,-0.048817867,0.111675901,0.291605278,0.030305874,0.305768082,0.022218415,-0.040692831,0.095229592,-0.092498645,-0.02582131,0.005388099,0.02254175,-0.032161797,-0.134553026,-0.052897295,-0.170803953,-0.014189249,0.012869138,0.081116948,-0.29060413,-0.11645082,-0.533192243,0.695099636,3.182656409,0.606996042,3.245238734,-0.076937253,-0.484674683
0.324020755,-0.009731088,0.028973843,-0.048744649,0.111978082,0.291168232,0.028502144,0.304974633,0.019821278,-0.040940191,0.095377234,-0.091020548,-0.030627112,0.003378061,0.013755315,-0.020163782,-0.082106281,-0.042116232,-0.116955273,-0.01550166,0.004878829,0.096214247,-0.285960372,-0.123700483,-0.520452264,0.738372971,3.106610856,0.679618206,3.209025166,-0.07971754,-0.473553926
0.376389367,-0.011234044,0.028423917,-0.04870565,0.112135781,0.290935449,0.027560829,0.304369066,0.01831457,-0.041209584,0.095393408,-0.089292969,-0.035348967,0.001298536,0.00521467,-0.007750999,-0.031126668,-0.030464591,-0.064062384,-0.016819764,-0.002898059,0.111047828,-0.280532817,-0.124878883,-0.503872063,0.745406934,3.007642595,0.71211138,3.132486711,-0.077693553,-0.459204232
0.428759577,-0.012706161,0.027796083,-0.048701214,0.112153581,0.29090897,0.027454578,0.303960459,0.017677319,-0.041500458,0.095282081,-0.087320645,-0.039973934,-0.000754335,-0.003024627,0.00450269,0.01805418,-0.018582391,-0.012700211,-0.018067596,-0.01041449,0.125577033,-0.274336342,-0.120622635,-0.484446149,0.720001373,2.891688007,0.708077033,3.026993186,-0.07138272,-0.442424187
